Timestamp,ppgRed 
1684327612835,4843847 
1684327612845,4843807 
1684327612855,4843880 
1684327612866,4843891 
1684327612875,4843859 
1684327612885,4844048 
1684327612895,4843901 
1684327612905,4843456 
1684327612915,4843445 
1684327612925,4843327 
1684327612935,4842891 
1684327612946,4842567 
1684327612955,4842439 
1684327612966,4842190 
1684327612975,4842197 
1684327612985,4841917 
1684327612995,4841904 
1684327613005,4841746 
1684327613015,4841755 
1684327613025,4841417 
1684327613035,4841458 
1684327613045,4841417 
1684327613055,4841061 
1684327613066,4840772 
1684327613075,4840697 
1684327613085,4840426 
1684327613095,4840282 
1684327613105,4840289 
1684327613115,4840083 
1684327613125,4840203 
1684327613135,4839844 
1684327613146,4840014 
1684327613155,4840026 
1684327613166,4839882 
1684327613175,4840041 
1684327613185,4840068 
1684327613195,4839746 
1684327613205,4839868 
1684327613215,4839271 
1684327613226,4839260 
1684327613235,4839071 
1684327613245,4839084 
1684327613255,4838795 
1684327613266,4838725 
1684327613275,4838488 
1684327613285,4838655 
1684327613295,4838514 
1684327613306,4838541 
1684327613315,4838553 
1684327613325,4838508 
1684327613335,4838567 
1684327613346,4838260 
1684327613355,4838284 
1684327613366,4838114 
1684327613375,4838002 
1684327613386,4838100 
1684327613395,4837744 
1684327613405,4837877 
1684327613415,4837971 
1684327613426,4837837 
1684327613435,4838005 
1684327613445,4838038 
1684327613455,4838039 
1684327613469,4838072 
1684327613475,4838017 
1684327613486,4838015 
1684327613495,4837868 
1684327613506,4837652 
1684327613515,4837344 
1684327613525,4837379 
1684327613535,4837473 
1684327613546,4837464 
1684327613555,4837552 
1684327613566,4837502 
1684327613575,4837530 
1684327613586,4837560 
1684327613595,4837402 
1684327613606,4837330 
1684327613615,4837170 
1684327613626,4837095 
1684327613635,4836884 
1684327613645,4836728 
1684327613655,4836788 
1684327613667,4836444 
1684327613675,4836463 
1684327613685,4836041 
1684327613695,4836235 
1684327613706,4836168 
1684327613715,4835969 
1684327613726,4835998 
1684327613735,4835784 
1684327613746,4835692 
1684327613755,4835745 
1684327613766,4835725 
1684327613775,4835355 
1684327613786,4835521 
1684327613795,4835298 
1684327613805,4835265 
1684327613815,4835042 
1684327613826,4835211 
1684327613836,4835259 
1684327613846,4835406 
1684327613855,4835756 
1684327613866,4835754 
1684327613876,4835974 
1684327613886,4836187 
1684327613895,4835972 
1684327613906,4836101 
1684327613915,4836041 
1684327613926,4836495 
1684327613935,4836426 
1684327613946,4836522 
1684327613955,4836523 
