Timestamp,ppgIr 
1684327630405,5580718 
1684327630415,5581276 
1684327630425,5581766 
1684327630436,5581577 
1684327630445,5581326 
1684327630455,5581164 
1684327630466,5580812 
1684327630476,5580513 
1684327630485,5580386 
1684327630495,5580408 
1684327630505,5580243 
1684327630515,5580272 
1684327630525,5580162 
1684327630535,5580158 
1684327630545,5580418 
1684327630555,5580332 
1684327630569,5580252 
1684327630576,5580498 
1684327630585,5580273 
1684327630596,5580090 
1684327630605,5579767 
1684327630615,5579778 
1684327630625,5579460 
1684327630636,5579296 
1684327630645,5579279 
1684327630656,5579271 
1684327630665,5579318 
1684327630677,5578949 
1684327630685,5579211 
1684327630695,5579188 
1684327630705,5579091 
1684327630717,5579211 
1684327630725,5579044 
1684327630735,5578885 
1684327630745,5579114 
1684327630755,5579076 
1684327630765,5578965 
1684327630776,5578838 
1684327630785,5578878 
1684327630796,5578836 
1684327630805,5578992 
1684327630816,5579072 
1684327630825,5578973 
1684327630837,5579239 
1684327630845,5579432 
1684327630855,5579389 
1684327630865,5579349 
1684327630876,5579310 
1684327630885,5579396 
1684327630896,5579128 
1684327630905,5579084 
1684327630916,5579175 
1684327630925,5578907 
1684327630935,5578845 
1684327630945,5579257 
1684327630956,5579530 
1684327630965,5579859 
1684327630978,5579910 
1684327630985,5580166 
1684327630996,5580236 
1684327631005,5580105 
1684327631016,5579827 
1684327631025,5579578 
1684327631035,5579393 
1684327631045,5579410 
1684327631055,5579425 
1684327631065,5579611 
1684327631081,5579575 
1684327631085,5579576 
1684327631096,5579500 
1684327631105,5578869 
1684327631116,5578638 
1684327631125,5578363 
1684327631137,5578071 
1684327631145,5577699 
1684327631155,5577301 
1684327631165,5576944 
1684327631176,5576556 
1684327631185,5576047 
1684327631197,5575863 
1684327631205,5575625 
1684327631215,5575382 
1684327631225,5575128 
1684327631237,5574733 
1684327631245,5574284 
1684327631256,5573988 
1684327631265,5574132 
1684327631276,5573796 
1684327631285,5573697 
1684327631295,5573677 
1684327631305,5573345 
1684327631317,5573214 
1684327631325,5572921 
1684327631336,5573055 
1684327631345,5572940 
1684327631357,5572687 
1684327631365,5572715 
1684327631376,5572550 
1684327631385,5572489 
1684327631396,5572352 
1684327631405,5572264 
1684327631415,5571913 
1684327631425,5571760 
1684327631436,5571493 
1684327631445,5571179 
1684327631457,5571247 
1684327631465,5571112 
1684327631476,5570997 
1684327631485,5570819 
1684327631496,5570817 
1684327631505,5570946 
1684327631517,5571071 
1684327631525,5570792 
1684327631536,5570615 
1684327631545,5570559 
1684327631556,5570394 
1684327631565,5570482 
1684327631576,5570420 
1684327631585,5570319 
1684327631596,5570070 
1684327631605,5570503 
1684327631616,5570441 
1684327631626,5570618 
1684327631636,5570759 
1684327631646,5570833 
1684327631656,5570689 
1684327631665,5570804 
1684327631677,5570627 
1684327631686,5570575 
1684327631697,5570492 
1684327631706,5570477 
1684327631716,5570550 
1684327631726,5570422 
1684327631736,5570468 
1684327631746,5570311 
1684327631756,5570320 
1684327631766,5570382 
1684327631776,5570048 
1684327631785,5570071 
1684327631796,5570188 
1684327631806,5569973 
1684327631816,5570073 
1684327631825,5570312 
1684327631836,5570061 
1684327631846,5570061 
1684327631857,5569629 
1684327631865,5569560 
1684327631881,5569310 
1684327631886,5569007 
1684327631896,5568814 
1684327631906,5568544 
1684327631917,5568187 
1684327631926,5567715 
1684327631936,5567234 
1684327631946,5566902 
1684327631956,5566855 
1684327631966,5566587 
1684327631981,5566127 
1684327631986,5565546 
1684327631996,5565178 
1684327632006,5564813 
1684327632016,5564525 
1684327632026,5564168 
1684327632036,5563907 
1684327632046,5563884 
1684327632057,5563690 
1684327632066,5563395 
1684327632078,5562624 
1684327632086,5562187 
1684327632096,5561708 
1684327632106,5561568 
1684327632116,5561537 
1684327632126,5561506 
1684327632136,5561249 
1684327632146,5560885 
1684327632156,5560701 
1684327632166,5560662 
1684327632177,5560653 
1684327632186,5560661 
1684327632196,5560761 
1684327632206,5560777 
1684327632216,5560635 
1684327632226,5560620 
1684327632237,5560557 
1684327632246,5560523 
1684327632256,5560219 
1684327632266,5559655 
1684327632278,5559228 
1684327632286,5559005 
1684327632297,5559190 
1684327632306,5559351 
1684327632317,5559378 
1684327632326,5559271 
1684327632337,5559389 
1684327632346,5559189 
1684327632356,5559224 
1684327632366,5559302 
1684327632377,5559166 
1684327632386,5559083 
1684327632396,5558650 
1684327632406,5558576 
1684327632416,5558955 
1684327632426,5559387 
1684327632436,5559663 
1684327632446,5559645 
1684327632456,5560041 
1684327632466,5560020 
1684327632478,5560217 
1684327632486,5560256 
1684327632496,5560869 
1684327632507,5560648 
1684327632517,5561141 
1684327632526,5561345 
1684327632536,5561520 
1684327632546,5561364 
1684327632556,5561500 
1684327632566,5561404 
1684327632577,5561674 
1684327632586,5561501 
1684327632596,5561596 
1684327632606,5561469 
1684327632617,5561022 
1684327632626,5560949 
1684327632638,5560702 
1684327632646,5560466 
1684327632657,5560432 
1684327632666,5560135 
1684327632677,5560058 
1684327632686,5560326 
1684327632697,5559950 
1684327632706,5559851 
1684327632719,5559580 
1684327632726,5559303 
1684327632736,5559100 
1684327632746,5558808 
1684327632757,5558648 
1684327632766,5558354 
1684327632777,5558408 
1684327632786,5558373 
1684327632797,5558619 
1684327632806,5558850 
1684327632817,5558924 
1684327632826,5558953 
1684327632837,5558957 
1684327632847,5559082 
1684327632857,5558955 
1684327632866,5558883 
1684327632877,5558876 
1684327632886,5558783 
1684327632897,5558913 
1684327632906,5558873 
1684327632917,5558848 
1684327632926,5558780 
1684327632937,5558659 
1684327632946,5558484 
1684327632957,5558535 
1684327632966,5558638 
1684327632978,5558626 
1684327632986,5558776 
1684327632998,5558692 
1684327633006,5558675 
1684327633017,5558349 
1684327633026,5558790 
1684327633038,5558856 
1684327633046,5559168 
1684327633057,5559234 
1684327633066,5559186 
1684327633078,5559526 
1684327633086,5559883 
1684327633097,5560076 
1684327633106,5560135 
1684327633118,5559985 
1684327633126,5560073 
1684327633137,5560085 
1684327633146,5560518 
1684327633157,5560881 
1684327633166,5561474 
1684327633178,5561977 
1684327633186,5561993 
1684327633198,5562413 
1684327633206,5562545 
1684327633217,5562974 
1684327633226,5563064 
1684327633237,5563064 
1684327633246,5563089 
1684327633258,5563455 
1684327633266,5563404 
1684327633277,5563618 
1684327633287,5563936 
1684327633297,5564144 
1684327633306,5564473 
1684327633318,5564744 
1684327633327,5564654 
1684327633337,5565105 
1684327633346,5565383 
1684327633358,5565792 
1684327633367,5565963 
1684327633377,5565875 
1684327633387,5565628 
1684327633397,5565542 
1684327633407,5565296 
1684327633417,5564993 
1684327633427,5564720 
1684327633437,5564326 
1684327633447,5564400 
1684327633457,5564101 
1684327633467,5564398 
1684327633478,5564019 
1684327633487,5564265 
1684327633497,5564387 
1684327633507,5564422 
1684327633517,5564174 
1684327633527,5564213 
1684327633539,5564119 
1684327633547,5563707 
1684327633557,5563682 
1684327633567,5564031 
1684327633578,5563773 
1684327633587,5564434 
1684327633598,5564535 
1684327633607,5564716 
1684327633617,5564728 
1684327633627,5564471 
1684327633637,5564379 
1684327633647,5564212 
1684327633658,5564290 
1684327633667,5564243 
1684327633678,5564340 
1684327633687,5564506 
1684327633697,5564693 
1684327633707,5564991 
1684327633718,5565402 
1684327633727,5565199 
1684327633737,5565098 
1684327633747,5564957 
1684327633758,5564749 
1684327633767,5564797 
1684327633778,5564877 
1684327633787,5565087 
1684327633798,5565225 
1684327633807,5565358 
1684327633818,5565899 
1684327633827,5565865 
1684327633837,5566025 
1684327633847,5566404 
1684327633857,5566395 
1684327633867,5566394 
1684327633879,5566315 
1684327633887,5566357 
1684327633897,5566204 
1684327633907,5566232 
1684327633917,5566295 
1684327633927,5566735 
1684327633937,5566951 
1684327633947,5567071 
1684327633957,5567299 
1684327633967,5567336 
1684327633978,5567334 
1684327633987,5567248 
1684327633997,5567158 
1684327634007,5567340 
1684327634017,5567331 
1684327634027,5567585 
1684327634037,5567727 
1684327634047,5567971 
1684327634057,5568019 
1684327634067,5567835 
1684327634078,5567342 
1684327634087,5566941 
1684327634097,5567103 
1684327634107,5566924 
1684327634122,5566803 
1684327634127,5566697 
1684327634137,5566481 
1684327634147,5566410 
1684327634157,5566040 
1684327634167,5565853 
1684327634178,5565353 
1684327634187,5564969 
1684327634197,5564563 
1684327634207,5564232 
1684327634217,5563891 
1684327634227,5563889 
1684327634237,5563686 
1684327634247,5563189 
1684327634257,5563065 
1684327634267,5562868 
1684327634278,5562620 
1684327634287,5562776 
1684327634298,5562633 
1684327634307,5562763 
1684327634318,5562787 
1684327634327,5562949 
1684327634337,5562749 
1684327634347,5562675 
1684327634358,5562289 
1684327634367,5562084 
1684327634378,5562225 
1684327634388,5562427 
1684327634398,5562098 
1684327634407,5562305 
1684327634417,5562128 
1684327634427,5562040 
1684327634438,5561822 
1684327634447,5561573 
1684327634457,5561643 
1684327634467,5561535 
1684327634479,5561545 
1684327634487,5561787 
1684327634498,5561774 
1684327634507,5562140 
1684327634518,5562035 
1684327634527,5561941 
1684327634537,5561769 
1684327634547,5561749 
1684327634558,5561857 
1684327634567,5561776 
1684327634578,5562182 
1684327634587,5562025 
1684327634598,5562439 
1684327634608,5562527 
1684327634618,5562776 
1684327634627,5563108 
1684327634638,5563128 
1684327634647,5563054 
1684327634657,5563008 
1684327634667,5562968 
1684327634678,5563007 
1684327634687,5563130 
1684327634697,5563185 
1684327634707,5563188 
1684327634718,5563395 
1684327634727,5563588 
1684327634738,5563744 
1684327634747,5563794 
1684327634758,5563821 
1684327634768,5563872 
1684327634778,5563593 
1684327634788,5563688 
1684327634798,5563534 
1684327634808,5563680 
1684327634818,5564018 
1684327634827,5564459 
1684327634838,5564775 
1684327634848,5565161 
1684327634858,5565483 
1684327634867,5565025 
1684327634879,5564820 
1684327634888,5564071 
1684327634898,5563457 
1684327634908,5563272 
1684327634918,5562912 
1684327634928,5562662 
1684327634938,5562222 
1684327634947,5561883 
1684327634958,5561132 
1684327634967,5560433 
1684327634978,5559678 
1684327634987,5559339 
1684327634998,5558718 
1684327635008,5558330 
1684327635018,5557809 
1684327635028,5557198 
1684327635038,5556727 
1684327635048,5556580 
1684327635058,5556504 
1684327635067,5556077 
1684327635079,5555674 
1684327635087,5555507 
1684327635098,5555197 
1684327635107,5554982 
1684327635118,5555034 
1684327635127,5555184 
1684327635138,5555231 
1684327635148,5555633 
1684327635158,5555634 
1684327635169,5555566 
1684327635178,5555491 
1684327635188,5555404 
1684327635198,5555177 
1684327635208,5555010 
1684327635218,5554690 
1684327635229,5554394 
1684327635238,5554299 
1684327635248,5554284 
1684327635258,5554407 
1684327635268,5554366 
1684327635279,5554359 
1684327635288,5554484 
1684327635298,5554451 
1684327635309,5554635 
1684327635318,5554692 
1684327635328,5554629 
1684327635338,5554804 
1684327635348,5555038 
1684327635358,5554945 
1684327635368,5555317 
1684327635379,5555529 
1684327635388,5555477 
1684327635398,5555686 
1684327635408,5555632 
1684327635418,5555541 
1684327635428,5555636 
1684327635438,5555734 
1684327635448,5556087 
1684327635458,5556396 
1684327635468,5556759 
1684327635479,5556759 
1684327635488,5556850 
1684327635498,5557028 
1684327635508,5557382 
1684327635518,5557587 
1684327635528,5557591 
1684327635538,5557761 
1684327635548,5557921 
1684327635558,5557940 
1684327635568,5558011 
1684327635579,5558455 
1684327635588,5558718 
1684327635598,5559175 
1684327635608,5559554 
1684327635618,5559612 
1684327635628,5560035 
1684327635639,5560239 
1684327635648,5560458 
1684327635658,5560590 
1684327635668,5560792 
1684327635679,5560645 
1684327635688,5560516 
1684327635698,5560540 
1684327635708,5560165 
1684327635718,5560056 
1684327635729,5560050 
1684327635738,5559902 
1684327635748,5559735 
1684327635758,5559536 
1684327635769,5559599 
1684327635779,5559614 
1684327635791,5559623 
1684327635798,5559759 
1684327635808,5559606 
1684327635818,5559661 
1684327635829,5559774 
1684327635838,5559824 
1684327635848,5559980 
1684327635858,5560183 
1684327635869,5560059 
1684327635879,5560405 
1684327635888,5560388 
1684327635898,5560307 
1684327635908,5560357 
1684327635920,5560359 
1684327635928,5560488 
1684327635938,5560520 
1684327635949,5560678 
1684327635958,5560894 
1684327635968,5561100 
1684327635979,5561068 
1684327635989,5561384 
1684327635999,5561648 
1684327636008,5561659 
1684327636018,5562013 
1684327636029,5562283 
1684327636039,5562170 
1684327636048,5562399 
1684327636059,5562414 
1684327636068,5562542 
1684327636079,5562740 
1684327636088,5562601 
1684327636098,5562811 
1684327636108,5562930 
1684327636119,5563197 
1684327636128,5563440 
1684327636138,5563692 
1684327636150,5564099 
1684327636159,5564246 
1684327636168,5564182 
1684327636179,5564048 
1684327636188,5564337 
1684327636199,5564213 
1684327636208,5564481 
1684327636218,5565080 
1684327636228,5565416 
1684327636239,5565741 
1684327636248,5566368 
1684327636258,5567126 
1684327636268,5567292 
1684327636279,5567419 
1684327636288,5567307 
1684327636299,5567256 
1684327636308,5567174 
1684327636319,5567131 
1684327636328,5566891 
1684327636338,5567172 
1684327636349,5567007 
1684327636359,5567571 
1684327636368,5567599 
1684327636379,5567714 
1684327636388,5567698 
1684327636399,5567559 
1684327636408,5567144 
1684327636419,5566810 
1684327636428,5566457 
1684327636439,5566462 
1684327636448,5566483 
1684327636459,5566456 
1684327636469,5566235 
1684327636481,5566041 
1684327636489,5566194 
1684327636499,5566193 
1684327636509,5565895 
1684327636519,5565797 
1684327636529,5565585 
1684327636539,5565408 
1684327636548,5565369 
1684327636559,5565258 
1684327636568,5564906 
1684327636579,5564935 
1684327636589,5564825 
1684327636599,5564519 
1684327636608,5564706 
1684327636619,5564651 
1684327636628,5564775 
1684327636639,5564925 
1684327636649,5564717 
1684327636659,5564782 
1684327636669,5564936 
1684327636681,5564791 
1684327636689,5564798 
1684327636699,5564465 
1684327636715,5564569 
1684327636719,5565015 
1684327636729,5565265 
1684327636739,5565785 
1684327636749,5566095 
1684327636759,5566622 
1684327636769,5566979 
1684327636780,5567197 
1684327636789,5567607 
1684327636799,5567915 
1684327636809,5568002 
1684327636819,5568078 
1684327636829,5568386 
1684327636839,5568728 
1684327636849,5569274 
1684327636859,5569730 
1684327636869,5570499 
1684327636881,5571456 
1684327636889,5572340 
1684327636899,5572997 
1684327636909,5573415 
1684327636919,5573894 
1684327636929,5574525 
1684327636939,5575134 
1684327636949,5575673 
1684327636959,5576473 
1684327636969,5576970 
1684327636980,5577560 
1684327636989,5578029 
1684327636999,5578438 
1684327637009,5578983 
1684327637019,5579710 
1684327637029,5580730 
1684327637039,5581696 
1684327637049,5582609 
1684327637059,5583732 
1684327637069,5584633 
1684327637080,5585875 
1684327637089,5586970 
1684327637099,5587601 
1684327637109,5587945 
1684327637119,5587911 
1684327637129,5588211 
1684327637139,5588493 
1684327637149,5588497 
1684327637160,5589226 
1684327637169,5589511 
1684327637181,5590016 
1684327637189,5589829 
1684327637199,5589766 
1684327637209,5589644 
1684327637219,5589717 
1684327637229,5589610 
1684327637239,5589578 
1684327637249,5589815 
1684327637259,5590109 
1684327637269,5590077 
1684327637280,5590176 
1684327637289,5589875 
1684327637299,5589825 
1684327637309,5589260 
1684327637319,5588757 
1684327637329,5588697 
1684327637339,5588752 
1684327637349,5588685 
1684327637359,5589243 
1684327637369,5590021 
1684327637381,5590240 
1684327637389,5590713 
1684327637399,5590733 
1684327637409,5590876 
1684327637419,5590982 
1684327637429,5591304 
1684327637440,5591631 
1684327637449,5592084 
1684327637459,5592393 
1684327637469,5592134 
1684327637480,5591876 
1684327637489,5591737 
1684327637499,5591502 
1684327637509,5591707 
1684327637520,5591940 
1684327637529,5591671 
1684327637539,5591223 
1684327637549,5590672 
1684327637560,5590048 
1684327637569,5589405 
1684327637580,5588980 
1684327637589,5588967 
1684327637600,5588805 
1684327637609,5588809 
1684327637620,5588556 
1684327637629,5588115 
1684327637639,5587726 
1684327637649,5587477 
1684327637659,5587543 
1684327637669,5587457 
1684327637680,5587056 
1684327637690,5586825 
1684327637699,5586411 
1684327637709,5586011 
1684327637720,5585426 
1684327637729,5584833 
1684327637740,5584579 
1684327637749,5583918 
1684327637759,5583751 
1684327637769,5583834 
1684327637780,5583471 
1684327637789,5582985 
1684327637800,5582354 
1684327637809,5581809 
1684327637819,5581176 
1684327637829,5580899 
1684327637840,5580413 
1684327637850,5580094 
1684327637860,5579487 
1684327637869,5579104 
1684327637880,5578600 
1684327637889,5578397 
1684327637900,5578107 
1684327637909,5577847 
1684327637920,5577391 
1684327637929,5577267 
1684327637942,5577203 
1684327637949,5577115 
1684327637961,5576607 
1684327637969,5576462 
1684327637980,5575939 
1684327637989,5575303 
1684327638001,5575009 
1684327638009,5574607 
1684327638021,5574194 
1684327638029,5573757 
1684327638046,5573252 
1684327638049,5572743 
1684327638060,5572164 
1684327638069,5571993 
1684327638081,5571965 
1684327638089,5571780 
1684327638100,5571453 
1684327638109,5570953 
1684327638120,5570140 
1684327638129,5569381 
1684327638141,5568736 
1684327638149,5568696 
1684327638160,5568667 
1684327638169,5568723 
1684327638181,5568637 
1684327638189,5568188 
1684327638201,5567774 
1684327638210,5567566 
1684327638221,5567118 
1684327638229,5566963 
1684327638240,5566926 
1684327638249,5566816 
1684327638261,5566813 
1684327638269,5566568 
1684327638282,5565943 
1684327638290,5565543 
1684327638300,5565027 
