Timestamp,heartRate,ibi,flag 
1684327570868,80,777,1
1684327571868,80,787,1
1684327572868,80,733,1
1684327573868,80,741,1
1684327574868,80,829,1
1684327575868,80,777,1
1684327576868,80,742,1
1684327577868,80,750,1
1684327578868,81,736,1
1684327579868,81,728,1
1684327580868,82,667,1
1684327581868,83,698,1
1684327582868,84,681,1
1684327583868,85,697,1
1684327584868,86,706,1
1684327585868,87,657,1
1684327586868,87,693,1
1684327587868,87,720,1
1684327588868,86,679,1
1684327589868,86,720,1
1684327590868,86,730,1
1684327591868,86,708,1
1684327592868,86,690,1
1684327593868,86,684,1
1684327594868,86,722,1
1684327595868,87,668,1
1684327596868,87,690,1
1684327597868,86,689,1
1684327598868,86,722,1
1684327599868,85,704,1
1684327600868,85,726,1
1684327601868,84,753,1
1684327602868,83,724,1
1684327603868,83,722,1
1684327604868,82,741,1
1684327605868,82,725,1
1684327606868,82,724,1
1684327607868,81,746,1
1684327608868,82,699,1
1684327609868,82,700,1
1684327610868,82,734,1
1684327611868,83,699,1
1684327612868,83,712,1
1684327613868,83,753,1
1684327614868,82,716,1
1684327615868,82,743,1
1684327616868,83,719,1
1684327617868,83,696,1
1684327618868,84,698,1
1684327619868,83,695,1
1684327620868,83,742,1
1684327621868,82,754,1
1684327622868,82,744,1
1684327623868,81,725,1
1684327624868,82,728,1
1684327625868,82,709,1
1684327626868,83,696,1
1684327627868,83,674,1
1684327628868,84,712,1
1684327629868,84,742,1
1684327630868,83,761,1
1684327631868,82,748,1
1684327632868,82,707,1
1684327633868,81,733,1
1684327634868,81,747,1
1684327635868,81,746,1
1684327636868,80,734,1
1684327637868,80,786,1
1684327638868,79,741,1
1684327639868,78,811,1
1684327640868,79,773,1
1684327641868,80,681,1
1684327642868,81,669,1
1684327643868,83,631,1
1684327644868,84,637,1
1684327645868,84,684,1
1684327646868,85,705,1
1684327647868,86,682,1
1684327648868,86,690,1
1684327649868,86,725,1
1684327650868,86,701,1
1684327651869,86,705,1
1684327652869,89,646,1
1684327653869,89,33375,1
1684327654870,91,33542,1
1684327655871,91,33389,1
1684327656871,91,626,1
1684327657872,91,697,1
1684327658873,90,662,1
1684327659873,90,719,1
1684327660874,90,683,1
